record_id,train_id,snapshot_timestamp,total_kms,age_in_months,avg_vibration_amplitude_mm_s,max_motor_temp_celsius,recent_fault_codes_count,actual_failure_risk_score
1,1,2025-08-01,50481.55,3,0.1639,62.15,2,0.1127
2,1,2025-08-02,50814.91,3,0.2556,57.64,1,0.0523
3,1,2025-08-03,51101.28,3,0.1491,64.56,0,0.0648
4,1,2025-08-04,51451.36,3,0.2638,61.41,0,0.0324
5,1,2025-08-05,51660.85,3,0.2533,60.57,0,0.0196
6,1,2025-08-06,51982.23,3,0.1701,61.44,2,0.1032
7,1,2025-08-07,52477.69,3,0.2321,64.73,2,0.1519
8,1,2025-08-08,52931.17,3,0.1557,57.87,1,0.044
9,1,2025-08-09,53141.8,3,0.2593,63.28,0,0.0567
10,1,2025-08-10,53581.69,3,0.2884,58.95,1,0.0573
11,1,2025-08-11,53979.16,3,0.2215,80.65,1,0.3225
12,1,2025-08-12,54237.23,3,0.2669,65.44,2,0.1665
13,1,2025-08-13,54701.61,3,0.1433,61.72,2,0.107
14,1,2025-08-14,55031.83,3,0.1276,59.69,0,0.004
15,1,2025-08-15,55338.92,3,0.2212,61.23,1,0.0636
16,1,2025-08-16,55767.62,3,0.1286,64.76,1,0.1075
17,1,2025-08-17,56202.92,3,0.3117,62.56,1,0.0949
18,1,2025-08-18,56518.89,3,0.1865,78.69,1,0.2932
19,1,2025-08-19,56757.03,3,0.2105,66.4,2,0.171
20,1,2025-08-20,57026.96,3,0.3149,60.5,1,0.0679
21,1,2025-08-21,57526.41,3,0.249,63.58,1,0.0991
22,1,2025-08-22,57846.94,3,0.2075,62.13,2,0.1135
23,1,2025-08-23,58316.93,3,0.2317,59.9,0,0.0088
24,1,2025-08-24,58619.81,3,0.2071,65.5,2,0.1583
25,1,2025-08-25,58821.63,3,0.2251,59.88,1,0.0478
26,1,2025-08-26,59088.48,3,0.2169,67.26,2,0.1833
27,1,2025-08-27,59459.22,3,0.3128,60.47,2,0.1072
28,1,2025-08-28,59745.41,3,0.2019,64.23,1,0.1007
29,1,2025-08-29,60079.76,3,0.1571,64.26,2,0.1408
30,1,2025-08-30,60530.9,3,0.177,81.23,0,0.2871
31,1,2025-08-31,60974.48,3,0.2125,58.05,2,0.0859
32,1,2025-09-01,61277.08,3,0.2556,65.28,2,0.1627
33,1,2025-09-02,61500.95,3,0.2223,62.5,0,0.0406
34,1,2025-09-03,61720.14,3,0.2574,66.38,2,0.1777
35,1,2025-09-04,62079.64,3,0.1288,63.54,2,0.1312
36,1,2025-09-05,62552.32,3,0.1736,60.62,2,0.0923
37,1,2025-09-06,62832.61,3,0.1997,61.49,2,0.1038
38,1,2025-09-07,63200.75,3,0.1238,59.24,1,0.044
39,1,2025-09-08,63547.38,3,0.2325,66.52,1,0.1358
40,1,2025-09-09,63898.45,3,0.3011,67.49,0,0.1191
41,1,2025-09-10,64388.91,3,0.1328,66.58,0,0.0917
42,1,2025-09-11,64634.71,3,0.2742,65.62,2,0.17
43,1,2025-09-12,65044.88,3,0.1672,65.55,0,0.078
44,1,2025-09-13,65324.18,3,0.1686,79.55,1,0.3047
45,1,2025-09-14,65668.79,3,0.2485,67.09,1,0.1458
46,1,2025-09-15,66041.4,3,0.1293,86.06,1,0.3915
47,1,2025-09-16,66389.23,3,0.3005,58.47,1,0.0591
48,1,2025-09-17,66620.13,3,0.1528,67.07,1,0.1382
49,1,2025-09-18,67088.31,3,0.1954,68.09,2,0.1918
50,1,2025-09-19,67291.75,3,0.159,82.63,1,0.3458
51,1,2025-09-20,67529.19,3,0.1178,59.95,0,0.004
52,1,2025-09-21,67757.34,3,0.2403,64.28,1,0.1071
53,1,2025-09-22,68226.49,3,0.1327,61.26,0,0.0208
54,1,2025-09-23,68635.09,3,0.3117,62.35,0,0.052
55,1,2025-09-24,68999.91,3,0.2461,66.66,1,0.1397
56,1,2025-09-25,69307.52,3,0.2034,63.6,2,0.1326
57,1,2025-09-26,69674.58,3,0.2864,59.09,1,0.057
58,1,2025-09-27,70030.78,3,0.2487,63.16,2,0.1335
